Meta,-3,-2,-1,0,1,2,3
-3,8,1,4,2,0,0,0
-2,5,92,46,12,0,0,0
-1,2,55,630,152,4,0,0
0,0,7,161,1426,139,7,0
1,0,0,2,135,640,65,0
2,0,0,0,11,58,163,9
3,0,0,0,2,1,6,8
